,longitude,latitude,adt,ugos,vgos,sla,ugosa,vgosa,Born,Dead,Errcount,Longevity,added,addeda,multiplied,multiplieda,substracted,substracteda,deducted,deducteda,exp1a,exp2a,exp3a,exp4a,exp1,exp2,exp3,exp4
1616,310.625,2.375,0.5589000000000001,-0.8862,-3.3199,0.0537,-1.5675,-3.2786,2005-01-01,2005-01-08 00:00:00,0,7,4.2061,4.8461,2.94209538,5.139205499999999,0.26693575107683964,0.47810040871103515,-2.4337,-1.7111,12.27374264,9.0522,9.36874325,15.120032758420589,12.27374264,-9.0522,16.19073945,15.120032758420589
1617,310.625,2.125,0.5164,-2.2212,-3.4013,-0.0072,-3.0858000000000003,-3.2967,2005-01-01,2005-01-08 00:00:00,0,7,5.6225000000000005,6.3825,7.554967560000001,10.172956860000001,0.6530444241907506,0.9360269360269361,-1.1801,-0.21089999999999964,18.06724467,12.005,16.013631540000002,76.85635906657947,18.06724467,-12.005,35.546286,76.85635906657947
1636,310.875,2.125,0.4789,-1.386,-1.0049,-0.0421,-2.1623,-0.9566,2005-01-01,2005-01-08 00:00:00,0,7,2.3909,3.1189,1.3927913999999997,2.06845618,1.3792417155935914,2.260401421701861,0.3811,1.2057000000000002,3.95823514,5.5098,4.51549527,2.8809279787808517,3.95823514,-5.5098,6.95999045,2.8809279787808517
1959,310.625,1.625,0.3919,-1.6775,-1.9021,-0.1879,-2.787,-1.6611,2005-01-01,2005-01-09 00:00:00,0,8,3.5796,4.4481,3.19077275,4.6294857,0.8819199831764892,1.6778038649087954,-0.2245999999999999,1.1259,7.834770809999999,8.0277,8.639752699999999,14.771636818074672,7.834770809999999,-8.0277,15.907906400000002,14.771636818074672
1960,310.625,1.875,0.4475,-2.4485,-2.8609,-0.101,-3.4778,-2.6991,2005-01-01,2005-01-09 00:00:00,0,8,5.3094,6.1769,7.004913650000001,9.38692998,0.8558495578314517,1.2885035752658291,-0.4123999999999999,0.7786999999999997,16.23724849,11.4863,15.09723802,65.75463394849622,16.23724849,-11.486299999999998,32.950228,65.75463394849622
2303,310.375,2.375,0.6662,-0.5281,-4.529100000000001,0.1575,-1.2437,-4.3583,2005-01-01,2005-01-11 00:00:00,0,10,5.057200000000001,5.602,2.39181771,5.42041771,0.1166015323132631,0.28536355918592116,-4.001,-3.1146,20.3959745,10.6592,10.519241670000001,12.964651074375647,20.3959745,-10.6592,15.746695319999999,12.964651074375647
2510,310.375,2.125,0.6877,-1.5934,-3.838,0.1588,-2.4535,-3.6046,2005-01-04,2005-01-12 00:00:00,0,8,5.4314,6.0581,6.1154692,8.8438861,0.41516414799374673,0.6806580480497143,-2.2446,-1.1511,17.7438617,11.4895,14.614533,54.08451305285812,17.7438617,-11.4895,30.11945794,54.08451305285812
4003,310.625,2.375,0.5377000000000001,1.3162,-4.6693,0.0325,0.6349,-4.628,2005-01-12,2005-01-19 00:00:00,0,7,5.9855,5.2629,6.14573266,2.9383172,0.28188379414473264,0.1371866897147796,-3.3530999999999995,-3.9931,22.44517578,11.2484,8.90873857,18.058111981479755,22.44517578,-7.3462,-18.13996203,18.058111981479755
4027,310.875,2.125,0.5587,1.2551,-4.9705,0.0377,0.4788,-4.9222,2005-01-10,2005-01-19 00:00:00,0,9,6.2256,5.401,6.238474550000001,2.3567493600000002,0.2525098078664118,0.09727357685587745,-3.7154000000000003,-4.4434000000000005,25.06673698,11.626600000000002,8.5571754,14.70252090308879,25.06673698,-8.1588,-17.152952530000004,14.70252090308879
4118,310.875,1.875,0.5308,1.4123,-4.520700000000001,-0.0117,0.4972,-4.3786000000000005,2005-01-11,2005-01-19 00:00:00,0,8,5.933000000000001,4.875800000000001,6.384584610000001,2.1770399200000004,0.3124073705399606,0.1135522769835107,-3.1084000000000005,-3.8814000000000006,20.496532580000004,10.8088,8.038592040000001,13.899495568587636,20.496532580000004,-6.989800000000001,-16.99321335,13.899495568587636
