,longitude,latitude,adt,ugos,vgos,sla,ugosa,vgosa,Born,Dead,Errcount,Longevity,radius,radius_glob
1179,309.625,0.375,0.6791,0.3801,-0.9722,-0.021,0.3387,-1.0618,2005-01-05,2005-01-06 00:00:00,0,1,1.3523,1.4005
1433,310.875,1.875,0.437,-1.3249,-0.4032,-0.1056,-2.24,-0.2611,2005-01-01,2005-01-07 00:00:00,0,6,1.7281,2.5011
1616,310.625,2.375,0.5589000000000001,-0.8862,-3.3199,0.0537,-1.5675,-3.2786,2005-01-01,2005-01-08 00:00:00,0,7,4.2061,4.8461
1617,310.625,2.125,0.5164,-2.2212,-3.4013,-0.0072,-3.0858000000000003,-3.2967,2005-01-01,2005-01-08 00:00:00,0,7,5.6225000000000005,6.3825
1636,310.875,2.125,0.4789,-1.386,-1.0049,-0.0421,-2.1623,-0.9566,2005-01-01,2005-01-08 00:00:00,0,7,2.3909,3.1189
1959,310.625,1.625,0.3919,-1.6775,-1.9021,-0.1879,-2.787,-1.6611,2005-01-01,2005-01-09 00:00:00,0,8,3.5796,4.4481
1960,310.625,1.875,0.4475,-2.4485,-2.8609,-0.101,-3.4778,-2.6991,2005-01-01,2005-01-09 00:00:00,0,8,5.3094,6.1769
2010,315.625,-2.625,0.5459,-0.4689,0.2106,0.0122,-0.4333,0.0701,2005-01-05,2005-01-10 00:00:00,0,5,0.6795,0.5034000000000001
2190,315.375,-2.375,0.5495,0.0719,0.8130000000000001,0.0162,0.0827,0.6335000000000001,2005-01-05,2005-01-10 00:00:00,0,5,0.8849,0.7162000000000001
2303,310.375,2.375,0.6662,-0.5281,-4.529100000000001,0.1575,-1.2437,-4.3583,2005-01-01,2005-01-11 00:00:00,0,10,5.057200000000001,5.602
2510,310.375,2.125,0.6877,-1.5934,-3.838,0.1588,-2.4535,-3.6046,2005-01-04,2005-01-12 00:00:00,0,8,5.4314,6.0581
3707,41.625,66.625,-0.2761,0.3581,-0.2625,-0.233,0.336,-0.2313,2005-01-01,2005-01-17 00:00:00,0,16,0.6206,0.5673
4003,310.625,2.375,0.5377000000000001,1.3162,-4.6693,0.0325,0.6349,-4.628,2005-01-12,2005-01-19 00:00:00,0,7,5.9855,5.2629
4027,310.875,2.125,0.5587,1.2551,-4.9705,0.0377,0.4788,-4.9222,2005-01-10,2005-01-19 00:00:00,0,9,6.2256,5.401
4118,310.875,1.875,0.5308,1.4123,-4.520700000000001,-0.0117,0.4972,-4.3786000000000005,2005-01-11,2005-01-19 00:00:00,0,8,5.933000000000001,4.875800000000001
4166,310.625,1.625,0.6681,1.1489,-4.891500000000001,0.0883,0.0395,-4.6505,2005-01-12,2005-01-19 00:00:00,0,7,6.040400000000001,4.69
4279,310.625,2.625,0.5626,0.4338,-2.9776,0.0701,-0.0654,-2.9975,2005-01-01,2005-01-20 00:00:00,0,19,3.4114,3.0629
4284,310.625,2.125,0.5148,1.9229,-4.8011,-0.0087,1.0583,-4.6965,2005-01-13,2005-01-20 00:00:00,0,7,6.724,5.7548
4334,309.375,2.625,0.7101000000000001,-0.0735,2.4694000000000003,0.1782,-0.3737,2.8729,2005-01-01,2005-01-20 00:00:00,0,19,2.5429000000000004,3.2466
4375,309.625,0.375,0.6949000000000001,0.1787,-0.6524,-0.0052,0.1374,-0.742,2005-01-13,2005-01-20 00:00:00,0,7,0.8311,0.8794
4388,309.625,2.625,0.7733,0.969,1.9562,0.2531,0.4839,2.4501,2005-01-01,2005-01-20 00:00:00,0,19,2.9252,2.934
4389,310.625,1.875,0.4992,2.8484000000000003,-3.5567,-0.0493,1.8191,-3.3949000000000003,2005-01-14,2005-01-20 00:00:00,0,6,6.405100000000001,5.214
4399,310.375,2.625,0.6573,1.0734,-3.7159,0.1635,0.5102,-3.6186,2005-01-01,2005-01-20 00:00:00,0,19,4.7893,4.1288
4903,310.875,1.875,0.414,1.7639,4.7144,-0.1286,0.8488,4.8565000000000005,2005-01-22,2005-01-23 00:00:00,0,1,6.478300000000001,5.7053
4952,310.625,1.875,0.2792,2.7095,4.3297,-0.2693,1.6802,4.4915,2005-01-22,2005-01-23 00:00:00,0,1,7.039199999999999,6.1717
4972,310.375,2.875,0.617,1.9913,-3.0334000000000003,0.1315,1.615,-2.9908,2005-01-01,2005-01-23 00:00:00,0,22,5.0247,4.6058
4973,310.375,2.375,0.6778000000000001,2.5428,-4.6862,0.169,1.8272,-4.5154000000000005,2005-01-12,2005-01-23 00:00:00,0,11,7.229000000000001,6.342600000000001
6101,41.125,66.625,-0.1604,0.2472,-0.4216,-0.1227,0.2287,-0.4161,2005-01-01,2005-01-30 00:00:00,0,29,0.6688,0.6448
6173,41.375,66.625,-0.2237,0.3106,-0.4123,-0.1856,0.2927,-0.3863,2005-01-01,2005-01-30 00:00:00,0,29,0.7229,0.679
6828,310.625,1.375,0.3584,-1.4265,-1.0452,-0.2547,-2.439,-0.7206,2005-01-01,2005-02-02 00:00:00,0,32,2.4717000000000002,3.1596
7135,309.125,-0.125,0.6283000000000001,0.1713,0.5346000000000001,-0.0738,0.1688,0.3443,2005-02-02,2005-02-03 00:00:00,0,1,0.7059000000000001,0.5131
7161,309.375,0.125,0.6331,0.1691,0.4884,-0.0679,0.1667,0.3617,2005-02-02,2005-02-03 00:00:00,0,1,0.6575,0.5284
7187,310.375,1.375,0.4173,-2.5969,-3.3763,-0.2081,-3.6185,-3.0672,2005-01-02,2005-02-03 00:00:00,0,32,5.9732,6.685700000000001
7255,309.625,0.125,0.6619,0.192,0.5838,-0.0375,0.1844,0.4858,2005-02-02,2005-02-03 00:00:00,0,1,0.7758,0.6702
7256,309.625,0.375,0.6549,0.3804,0.5631,-0.0453,0.3391,0.4735,2005-02-02,2005-02-03 00:00:00,0,1,0.9435,0.8126
7279,310.625,1.625,0.4038,3.5807,3.6559,-0.176,2.4713000000000003,3.8969,2005-01-24,2005-02-03 00:00:00,0,10,7.2366,6.3682
