adt,ugos,vgos,sla,ugosa,vgosa,radius,radius_glob
-0.1343,-0.0596,0.6051000000000001,0.1303,-0.017,0.0016,0.6647000000000001,0.0186
0.4333,-0.2992,0.3047,0.1102,0.054,-0.0394,0.6039000000000001,0.0934
0.6137,0.1259,0.5261,-0.0884,0.1237,0.3684,0.652,0.4921
0.3918,-3.8841,0.8427,-0.1284,-4.3692,1.3366,4.7268,5.7058
0.608,0.7734000000000001,-0.56,0.0743,0.809,-0.7005,1.3334,1.5095
0.4133,0.2186,4.4254,-0.1259,-0.4859,4.8158,4.644,5.3017
0.1159,-0.246,-0.7332000000000001,0.0133,0.0189,-0.3679,0.9792,0.3868
0.4993,5.9829,-0.3264,-0.1261,4.9614,-0.0172,6.3093,4.9786
0.5046,3.1006,4.152,-0.0507,2.0857,4.4271,7.2526,6.5128
0.7825000000000001,-0.2811,0.4142,0.0804,-0.2833,0.2565,0.6953,0.5398000000000001
0.5063,-0.1088,-4.7761000000000005,-0.1191,-1.1303,-4.4670000000000005,4.8849,5.597300000000001
0.752,0.0973,0.8180000000000001,0.0499,0.0948,0.6277,0.9153,0.7225
0.3952,-1.1678,-4.8644,-0.1703,-2.0765,-4.4564,6.0322,6.5329
-0.0286,-0.1683,0.5,-0.0801,-0.1475,0.47,0.6683,0.6174999999999999
0.3919,-1.6775,-1.9021,-0.1879,-2.787,-1.6611,3.5796,4.4481
0.9393,0.5714,1.8845,0.2371,0.5692,1.7268,2.4559,2.296
0.6902,3.867,3.4504,0.1349,2.8521,3.7255,7.3174,6.5776
0.267,-1.5635,-4.4387,-0.2532,-2.0486,-3.9448,6.0022,5.993399999999999
0.1241,-0.4173,0.183,-0.1115,-0.0653,0.185,0.6003000000000001,0.2502999999999999
0.7441,-1.9293,3.0613,0.2049,-2.6338,3.4516,4.990600000000001,6.0854
0.5291,0.4333,4.6818,0.0353,-0.1298,4.779100000000001,5.1151,4.908900000000001
0.6817000000000001,-0.0296,0.6064,-0.0193,-0.032,0.4797,0.636,0.5117
0.5917,-0.1888,-0.4287,-0.1084,-0.2301,-0.5184,0.6175,0.7484999999999999
0.8126,0.0332,-0.6007,0.1105,0.0307,-0.791,0.6339,0.8217
0.212,0.0832,0.9228,0.0677,0.1803,0.1237,1.006,0.304
0.9263,4.6326,2.507,0.3778,3.6033,2.6688,7.1396,6.2721
0.4307,-2.7492,-2.3468,-0.0853,-3.4845,-2.0353,5.096,5.5198
0.5465,2.313,3.6238,0.0378,1.5974000000000002,3.7946,5.9368,5.392
0.4467,-1.2133,0.5409,-0.087,-1.1777,0.4004,1.7542,1.5781
-0.0375,-0.4633,-0.5184,0.0204,-0.3085,-0.545,0.9817,0.8535
0.3028,-2.911,3.3925,-0.1864,-3.3472,3.596,6.3035,6.9432
0.6612,0.058,-0.8346,-0.0389,0.0167,-0.9243,0.8926000000000001,0.941
0.796,-3.4325,-1.7045,0.2162,-4.5419,-1.4635,5.1370000000000005,6.0054
0.1974,-0.0232,0.5800000000000001,0.0558,0.0145,0.2791,0.6032000000000001,0.2936
0.8874000000000001,0.733,0.4203,0.188,0.7254,0.3224,1.1533,1.0478
0.1832,-0.1899,0.4822,0.1635,-0.1619,0.4322,0.6721,0.5941
0.6886,1.5527,-5.2072,0.0996,0.4323,-4.8981,6.7599,5.3304
0.556,1.4795,4.4259,0.0008,0.4646,4.7010000000000005,5.9054,5.1656
0.6052000000000001,-0.1337,-0.8873000000000001,-0.0949,-0.175,-0.977,1.021,1.152
